Target,Prediction,Type of Error,ML Model,Raw Message,Converted Message
Spam,Ham,False Negative,BernoulliNB(),You have 1 new message. Please call 08718738034.,1 new messag pleas call 08718738034
Spam,Ham,False Negative,BernoulliNB(),Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,monthli password wap use wap phone pc
Spam,Ham,False Negative,BernoulliNB(),"accordingly. I repeat, just text the word ok on your mobile phone and send",accordingli repeat text word ok mobil phone send
Spam,Ham,False Negative,BernoulliNB(),Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,email alertfrom jeri stewarts 2kbsubject prescripiton drvgsto listen email call 123
Spam,Ham,False Negative,BernoulliNB(),Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,santa call would littl one like call santa xma eve call 09058094583 book time
Spam,Ham,False Negative,BernoulliNB(),This message is brought to you by GMW Ltd. and is not connected to the,messag brought gmw connect
Spam,Ham,False Negative,BernoulliNB(),"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",hi babe chloe r u smash saturday night great weekend u miss sp text stop stop
Spam,Ham,False Negative,BernoulliNB(),"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",hi babe jordan r u im home abroad lone text back u wan na chat xxsp text stop stopcost 150p 08712400603
Spam,Ham,False Negative,BernoulliNB(),Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,ur balanc ur next question sang girl 80 2 answer txt ur answer good luck
Spam,Ham,False Negative,BernoulliNB(),Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,check choos babe video fgkslpopw fgkslpo
Spam,Ham,False Negative,BernoulliNB(),Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,heard u4 call night knicker make beg like u last time 01223585236 xx luv
Spam,Ham,False Negative,BernoulliNB(),"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",tddnewslett game thedailydraw dear helen dozen free game great prizeswith
